k, norm2, norm1, normF

1.0,25.02060680186403,25.3,25.020609504966103
2.0,31.764065950422335,31.84,31.764066062297502
3.0,33.06011126265829,33.0745,33.06011127106092
4.0,32.7430462782115,32.739174999999996,32.74304627894391
5.0,31.963180449560404,31.954072749999998,31.96318044962707
6.0,31.065013069304293,31.054572467499995,31.06501306931044
7.0,30.151281120789644,30.140671863475,30.15128112079021
8.0,29.252208223343835,29.241772678570747,29.252208223343885
9.0,28.376281637785063,28.36611578951363,28.37628163778507
10.0,27.5254850870207,27.515611203218214,27.525485087020698
11.0,26.699868103923322,26.69028653333867,26.699868103923322
12.0,25.89891633165982,25.889621037203607,25.898916331659816
13.0,25.121962122966305,25.112945336047027,25.121962122966302
14.0,24.368307243654204,24.359560854953475,24.3683072436542
15.0,23.637259221657644,23.62877519300123,23.637259221657644
16.0,22.928141803601832,22.9199122863201,22.928141803601832
17.0,22.240297657071956,22.23231502246317,22.240297657071956
18.0,21.573088759633247,21.565345603209074,21.573088759633247
19.0,20.925896106526288,20.918385244538747,20.925896106526288
20.0,20.298119226235105,20.29083369003036,20.298119226235105
