k, norm2, norm1, normF
1.0,250.2060680186403,253.0,250.206095049661
2.0,3176.4065950422337,3184.0,3176.40660622975
3.0,33060.11126265828,33074.5,33060.111271060916
4.0,327430.462782115,327391.74999999994,327430.4627894391
5.0,3.1963180449560396e6,3.195407274999999e6,3.1963180449627065e6
6.0,3.1065013069304287e7,3.105457246749999e7,3.1065013069310438e7
7.0,3.0151281120789635e8,3.014067186347499e8,3.015128112079021e8
8.0,2.9252208223343825e9,2.924177267857074e9,2.925220822334388e9
9.0,2.837628163778505e10,2.8366115789513615e10,2.8376281637785057e10
10.0,2.75254850870207e11,2.7515611203218207e11,2.75254850870207e11
11.0,2.6699868103923306e12,2.669028653333865e12,2.66998681039233e12
12.0,2.589891633165981e13,2.5889621037203594e13,2.589891633165981e13
13.0,2.512196212296629e14,2.5112945336047012e14,2.512196212296629e14
14.0,2.4368307243654195e15,2.4359560854953465e15,2.436830724365419e15
15.0,2.3637259221657624e16,2.3628775193001212e16,2.3637259221657624e16
16.0,2.2928141803601814e17,2.291991228632008e17,2.2928141803601814e17
17.0,2.2240297657071933e18,2.2232315022463148e18,2.224029765707193e18
18.0,2.1573088759633224e19,2.1565345603209052e19,2.1573088759633224e19
19.0,2.0925896106526265e20,2.091838524453872e20,2.092589610652626e20
20.0,2.0298119226235085e21,2.029083369003034e21,2.0298119226235085e21
21.0,1.9689175650319416e22,1.9682108680177763e22,1.968917565031941e22
22.0,1.9098500381071244e23,1.9091645420026928e23,1.9098500381071244e23
23.0,1.8525545369717528e24,1.8518896057502467e24,1.8525545369717528e24
24.0,1.796977900864953e25,1.79633291758003e25,1.7969779008649533e25
25.0,1.7430685638397104e26,1.742442930053316e26,1.7430685638397097e26
26.0,1.6907765069247307e27,1.6901696421519227e27,1.6907765069247307e27
27.0,1.6400532117170523e28,1.6394645528874266e28,1.640053211717052e28
28.0,1.5908516153655595e29,1.5902806163008224e29,1.5908516153655595e29
29.0,1.5431260669045982e30,1.5425721978118028e30,1.543126066904598e30
30.0,1.4968322848974622e31,1.4962950318774506e31,1.496832284897462e31
31.0,1.4519273163505384e32,1.4514061809211272e32,1.4519273163505382e32
32.0,1.4083694968600224e33,1.4078639954934935e33,1.408369496860022e33
33.0,1.3661184119542217e34,1.3656280756286887e34,1.3661184119542215e34
34.0,1.3251348595955948e35,1.3246592333598279e35,1.3251348595955948e35
35.0,1.2853808138077269e36,1.2849194563590329e36,1.2853808138077268e36
36.0,1.246819389393495e37,1.2463718726682619e37,1.2468193893934948e37
37.0,1.20941480771169e38,1.2089807164882139e38,1.2094148077116899e38
38.0,1.1731323634803394e39,1.1727112949935675e39,1.1731323634803392e39
39.0,1.1379383925759287e40,1.13752995614376e40,1.1379383925759287e40
40.0,1.103800240798651e41,1.1034040574594473e41,1.1038002407986507e41
41.0,1.0706862335746914e42,1.0703019357356638e42,1.0706862335746912e42
42.0,1.0385656465674506e43,1.0381928776635939e43,1.0385656465674505e43
43.0,1.007408677170427e44,1.0070470913336861e44,1.007408677170427e44
44.0,9.771864168553142e44,9.768356785936754e44,9.77186416855314e44
45.0,9.478708243496546e45,9.475306082358649e45,9.478708243496545e45
46.0,9.194346996191651e46,9.191046899887891e46,9.19434699619165e46
47.0,8.9185165863059e47,8.915315492891253e47,8.918516586305898e47
48.0,8.65096108871672e48,8.647856028104513e48,8.65096108871672e48
49.0,8.391432256055218e49,8.388420347261377e49,8.391432256055216e49
50.0,8.139689288373561e50,8.136767736843535e50,8.13968928837356e50
